Titulo1= Mortalidade - Brasil
Titulo2=Óbitos p/Residênc por Sexo segundo Causa - CID-BR-10
Rodape=Período:2022
Nomemapa=c:\tabwin\cid10-lista-br.map
"Causa - CID-BR-10";"Masc";"Fem";"Ign";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";71633;60144;23;131800
". 001 Doenças infecciosas intestinais";2139;2863;1;5003
"... 003 Diarréia e gastroenterite orig infec pres";1449;2038;1;3488
"... 004 Outras doenças infecciosas intestinais";690;825;0;1515
". 005-006 Tuberculose";4353;1491;1;5845
"... 005 Tuberculose respiratória";4027;1331;1;5359
"... 006 Outras tuberculoses";326;160;0;486
". 007-015 Outras doenças bacterianas";15850;16131;5;31986
"... 008 Leptospirose";286;62;0;348
"... 009 Hanseníase";104;31;0;135
"... 010 Tétano";40;11;0;51
"..... 010.3 Tétano acidental";40;11;0;51
"... 011 Difteria";3;1;0;4
"... 013 Infecção meningocócica";41;52;0;93
"... 014 Septicemia";13426;13998;5;27429
"... 015 Infecções com transmissão predom sexual";200;141;0;341
". 016-023 Doenças virais";9836;5142;8;14986
"... 017 Raiva";2;0;0;2
"... 018 Dengue";431;377;1;809
"... 019 Febre amarela";2;0;0;2
"... 020 Out febres p/arbovírus e febr hemor virais";359;347;0;706
"... 022 Hepatite viral";1109;569;1;1679
"... 023 Doen p/vírus da imunodefic humana (HIV)";7608;3519;6;11133
". 024-027 Doenças transmitidas por protozoários";2345;2108;1;4454
"... 024 Malária";42;28;0;70
"... 025 Leishmaniose";159;53;0;212
"... 026 Doença de Chagas";2053;1974;1;4028
"... 027 Toxoplasmose";46;30;0;76
". 028-030 Helmintíases";256;252;0;508
"... 028 Esquistossomose";192;206;0;398
"... 029 Cisticercose";36;35;0;71
"... 030 Restante de helmintíases";28;11;0;39
". 031 Restante algumas doenç infec e parasitárias";36854;32157;7;69018
"032-052 NEOPLASIAS";125800;118194;15;244009
". 032 Neopl malig do lábio, cav oral e faringe";6405;1796;1;8202
". 033 Neoplasia maligna do esôfago";6694;1877;0;8571
". 034 Neoplasia maligna do estômago";9171;5168;1;14340
". 035 Neoplasia maligna do cólon,reto e ânus";11170;11156;4;22330
". 036 Neopl malig do fígado e vias bil intrahepát";6195;4421;2;10618
". 037 Neoplasia maligna do pâncreas";6254;6400;0;12654
". 038 Neoplasia maligna da laringe";4034;578;0;4612
". 039 Neopl malig da traquéia,brônquios e pulmões";16008;13567;1;29576
". 040 Neoplasia maligna da pele";1102;857;0;1959
". 041 Neoplasia maligna da mama";259;19103;1;19363
". 042 Neoplasia maligna do colo do útero";0;6983;0;6983
". 043 Neopl malig de corpo e partes n/esp útero";0;4211;0;4211
". 044 Neoplasia maligna do ovário";0;4215;0;4215
". 045 Neoplasia maligna da próstata";16429;0;0;16429
". 046 Neoplasia maligna da bexiga";3419;1700;0;5119
". 047 Neopl malig mening,encéf e out partes SNC";5174;4733;0;9907
". 048 Linfoma não-Hodgkin";2356;2000;1;4357
". 049 Mieloma mult e neopl malig de plasmócitos";1904;1775;0;3679
". 050 Leucemia";3784;3231;0;7015
". 051 Neoplasias in situ, benig, comport incert";2640;2746;0;5386
". 052 Restante de neoplasias malignas";22802;21677;4;44483
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";3693;3791;0;7484
". 053 Anemias";2304;2433;0;4737
". 054 Rest d sangue, org hemat e alg transt imunit";1389;1358;0;2747
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";43726;50104;11;93841
". 055 Diabetes mellitus";35172;40658;8;75838
". 056 Desnutrição";2379;2174;1;4554
". 057 Rest doenças endócr, nutricion e metabólicas";6175;7272;2;13449
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";13403;5852;0;19255
". 058 Transt ment e comport uso subst psicoativas";10469;1794;0;12263
"... 058.1 Trans ment e comport devid uso álcool";7705;774;0;8479
". 059 Rest transtornos mentais e comportamentais";2934;4058;0;6992
"060-063 DOENÇAS DO SISTEMA NERVOSO";24956;31469;7;56432
". 060 Meningite";515;380;0;895
". 061 Doença de Alzheimer";10068;19360;1;29429
". 062 Epilepsia";2952;1608;2;4562
". 063 Restante das doenças do sistema nervoso";11421;10121;4;21546
"064 DOENÇAS DOS OLHOS E ANEXOS";20;9;0;29
"065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE";148;96;0;244
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";210181;189946;27;400154
