 População Residente - Estimativas para o TCU - Brasil
População estimada por Unidade da Federação e Ano
Unidade da Federação: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2020-2021
"Unidade da Federação";"2020";"2021"
"11 Rondônia";1796460;1815278
"12 Acre";894470;906876
"13 Amazonas";4207714;4269995
"14 Roraima";631181;652713
"15 Pará";8690745;8777124
"16 Amapá";861773;877613
"17 Tocantins";1590248;1607363
"21 Maranhão";7114598;7153262
"22 Piauí";3281480;3289290
"23 Ceará";9187103;9240580
"24 Rio Grande do Norte";3534165;3560903
"25 Paraíba";4039277;4059905
"26 Pernambuco";9616621;9674793
"27 Alagoas";3351543;3365351
"28 Sergipe";2318822;2338474
"29 Bahia";14930634;14985284
"31 Minas Gerais";21292666;21411923
"32 Espírito Santo";4064052;4108508
"33 Rio de Janeiro";17366189;17463349
"35 São Paulo";46289333;46649132
"41 Paraná";11516840;11597484
"42 Santa Catarina";7252502;7338473
"43 Rio Grande do Sul";11422973;11466630
"50 Mato Grosso do Sul";2809394;2839188
"51 Mato Grosso";3526220;3567234
"52 Goiás";7113540;7206589
"53 Distrito Federal";3055149;3094325
"Total";211755692;213317639
 Fonte: IBGE - Estimativas de população
 Notas:
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 projeções intercensitárias segundo faixa etária e sexo,
 devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes e situações especiais.
 Devido a decisões judiciais, as populações apresentadas para alguns municípios não é a estimada pelo IBGE. Em decorrência desta situação,
 os totais apresentados para Unidades da Federação e para o Brasil podem também não corresponder ao estimado pelo IBGE. Veja também a
 nota técnica.
 
